time	V(n004)
0.000000000000000e+00	0.000000e+00
1.000000011686097e-07	5.888104e-04
1.125000013146860e-07	6.601098e-04
1.320186335362220e-07	7.626008e-04
1.446457212826031e-07	8.230949e-04
1.566699703952270e-07	8.783551e-04
1.689809584337870e-07	9.346738e-04
1.829409416706823e-07	9.977689e-04
2.062828430575219e-07	1.101412e-03
2.399812831471579e-07	1.247195e-03
3.021388839245372e-07	1.506697e-03
3.992967383736783e-07	1.896691e-03
5.031945577530787e-07	2.297900e-03
6.272462130166871e-07	2.761460e-03
7.579111680088006e-07	3.238255e-03
8.997196588442422e-07	3.747410e-03
1.031988429175180e-06	4.217531e-03
1.217613687475149e-06	4.873223e-03
1.406210731425297e-06	5.536717e-03
1.676342286307249e-06	6.483674e-03
1.994352604702369e-06	7.593636e-03
2.582711512894050e-06	9.633075e-03
3.576117663766226e-06	1.304339e-02
4.648241512220848e-06	1.667466e-02
6.048995656407048e-06	2.133832e-02
7.667629277089079e-06	2.661061e-02
1.004010884453107e-05	3.411713e-02
1.324085553692582e-05	4.382291e-02
1.887373146567327e-05	5.975562e-02
2.972032846465893e-05	8.718445e-02
4.950478668427600e-05	1.303580e-01
7.319736231936835e-05	1.745731e-01
1.033315097735309e-04	2.240842e-01
1.364205940201503e-04	2.742181e-01
1.845329925300556e-04	3.420528e-01
2.599702765485507e-04	4.357953e-01
3.898309260342512e-04	5.699511e-01
4.469319568056357e-04	6.151745e-01
4.888088094208993e-04	6.387210e-01
5.255324164796186e-04	6.535192e-01
5.614187676196359e-04	6.627775e-01
5.997587791238240e-04	6.666448e-01
6.536648872778328e-04	6.611996e-01
7.409678284499290e-04	6.280641e-01
8.795414819485911e-04	5.345138e-01
9.778500408619772e-04	4.424681e-01
1.082959155450434e-03	3.278617e-01
1.187633190223465e-03	2.243319e-01
1.296180672565223e-03	1.576770e-01
1.403667592159192e-03	1.403961e-01
1.525635911522252e-03	1.556669e-01
1.590017608677287e-03	1.717829e-01
1.630185704254467e-03	1.845706e-01
1.668031551037308e-03	1.982984e-01
1.708680165181414e-03	2.148776e-01
1.745368933008836e-03	2.323135e-01
1.805055571535711e-03	2.681833e-01
1.901489294855351e-03	3.483756e-01
2.053299718431973e-03	5.189301e-01
2.194817289340176e-03	7.130559e-01
2.320285231961842e-03	9.010693e-01
2.387751542561285e-03	1.001693e+00
2.444974488444318e-03	1.082750e+00
2.501049063855944e-03	1.154640e+00
2.604127598397311e-03	1.265997e+00
2.707712852002035e-03	1.353935e+00
2.752665902369613e-03	1.381260e+00
2.787224416805839e-03	1.395168e+00
2.830118135207830e-03	1.405812e+00
2.870988196063203e-03	1.409285e+00
2.923956590306573e-03	1.403240e+00
2.998875589472624e-03	1.380007e+00
3.044189708762749e-03	1.357456e+00
3.086835541111346e-03	1.329885e+00
3.104385681728517e-03	1.317007e+00
3.112680080171081e-03	1.310475e+00
3.117841168500524e-03	1.306287e+00
