time	V(vout)
0.000000000000000e+00	0.000000e+00
3.875301910400390e-15	6.795709e-01
3.876301910400390e-15	6.797255e-01
3.878301910400390e-15	6.799916e-01
3.882301910400390e-15	6.805186e-01
3.883301910400390e-15	6.806489e-01
3.885301910400389e-15	6.808284e-01
4.421743713378905e-15	7.076845e-01
4.436644874572753e-15	7.083860e-01
4.440370164871215e-15	7.085506e-01
4.441370164871215e-15	7.085947e-01
4.442370164871215e-15	7.086386e-01
4.443370164871215e-15	7.086824e-01
4.445370164871214e-15	7.087696e-01
4.452820745468138e-15	7.090916e-01
4.454683390617369e-15	7.091718e-01
4.458408680915831e-15	7.093313e-01
4.465859261512755e-15	7.096466e-01
4.480760422706603e-15	7.102696e-01
4.484485713005065e-15	7.104235e-01
4.485485713005065e-15	7.104644e-01
4.487485713005065e-15	7.105461e-01
4.488485713005064e-15	7.105869e-01
4.489485713005064e-15	7.106276e-01
4.491485713005064e-15	7.107089e-01
4.492485713005064e-15	7.107494e-01
4.493485713005063e-15	7.107881e-01
4.560540938377377e-15	7.132714e-01
4.575442099571225e-15	7.137994e-01
4.635046744346616e-15	7.158006e-01
4.645997829176864e-15	7.161609e-01
4.667899998837362e-15	7.165422e-01
3.518647812383737e-14	7.855165e-01
3.518847812383737e-14	7.855210e-01
3.519247812383737e-14	7.855300e-01
3.519347812383737e-14	7.855322e-01
3.519547812383737e-14	7.855368e-01
3.519947812383737e-14	7.855458e-01
3.520747812383737e-14	7.855637e-01
3.522347812383737e-14	7.855996e-01
3.525547812383737e-14	7.856711e-01
3.531947812383737e-14	7.858136e-01
3.544747812383737e-14	7.860969e-01
3.545147812383737e-14	7.861058e-01
3.545247812383737e-14	7.861080e-01
3.545447812383737e-14	7.861124e-01
3.545847812383737e-14	7.861211e-01
3.546647812383737e-14	7.861387e-01
3.548247812383737e-14	7.861738e-01
3.551447812383737e-14	7.862438e-01
3.557847812383737e-14	7.863834e-01
3.559447812383736e-14	7.864182e-01
3.562647812383737e-14	7.864875e-01
3.569047812383737e-14	7.866259e-01
3.570647812383736e-14	7.866603e-01
3.571047812383736e-14	7.866690e-01
3.571847812383736e-14	7.866861e-01
3.573447812383736e-14	7.867205e-01
3.576647812383736e-14	7.867891e-01
3.583047812383736e-14	7.869258e-01
3.583247812383736e-14	7.869300e-01
3.583647812383736e-14	7.869385e-01
3.584447812383736e-14	7.869556e-01
3.584647812383736e-14	7.869598e-01
3.585047812383736e-14	7.869684e-01
3.585847812383735e-14	7.869853e-01
3.586047812383735e-14	7.869896e-01
3.586447812383735e-14	7.869981e-01
3.587247812383735e-14	7.870151e-01
3.588847812383735e-14	7.870490e-01
3.589247812383735e-14	7.870575e-01
3.590047812383735e-14	7.870744e-01
3.591647812383734e-14	7.871083e-01
3.592047812383734e-14	7.871168e-01
3.592847812383734e-14	7.871336e-01
3.594447812383734e-14	7.871569e-01
7.027675351446233e-14	8.146431e-01
