time	V(vout)
0.000000000000000e+00	0.000000e+00
1.125000004080930e-15	6.259999e-01
1.184604648856321e-15	6.497388e-01
1.244209293631712e-15	6.627856e-01
1.303813938407102e-15	6.733865e-01
1.311264519004026e-15	6.745868e-01
1.318715099600950e-15	6.756300e-01
1.378319744376340e-15	6.797571e-01
5.669854168204465e-15	7.142618e-01
2.536251764338295e-13	8.285429e-01
3.451779108088295e-13	8.441122e-01
6.448693535808830e-12	9.114748e-01
2.207369353580883e-11	9.680164e-01
2.231783416080883e-11	9.682630e-01
1.022561974785809e-09	1.050014e+00
2.023294396660809e-09	1.074738e+00
3.023294396660809e-09	1.091928e+00
4.023294396660809e-09	1.102831e+00
5.023294396660808e-09	1.110753e+00
6.023294396660808e-09	1.116948e+00
7.023294396660808e-09	1.122205e+00
7.148294396660808e-09	1.122781e+00
8.148294396660808e-09	1.126842e+00
9.148294396660809e-09	1.130486e+00
1.014829439666081e-08	1.133679e+00
1.214829439666081e-08	1.139112e+00
1.577605475587310e-08	1.147575e+00
1.677605475587310e-08	1.149300e+00
1.777605475587310e-08	1.150947e+00
1.877605475587310e-08	1.152498e+00
1.945777995567856e-08	1.153513e+00
2.013950515548403e-08	1.154494e+00
2.082123035528949e-08	1.155442e+00
2.150295555509496e-08	1.156355e+00
2.218468075490042e-08	1.157236e+00
2.286640595470588e-08	1.158082e+00
2.354813115451135e-08	1.158895e+00
2.567313115451135e-08	1.161296e+00
2.714495035093992e-08	1.162824e+00
2.861676954736849e-08	1.164284e+00
3.008858874379707e-08	1.165677e+00
3.156040794022564e-08	1.167003e+00
3.303222713665422e-08	1.168263e+00
3.450404633308279e-08	1.169455e+00
3.597586552951136e-08	1.170580e+00
3.797586552951136e-08	1.172046e+00
4.199149052951136e-08	1.174856e+00
4.445013484440239e-08	1.176379e+00
4.690877915929342e-08	1.177835e+00
4.936742347418445e-08	1.179225e+00
5.182606778907548e-08	1.180549e+00
5.428471210396650e-08	1.181806e+00
5.674335641885754e-08	1.182997e+00
5.920200073374856e-08	1.184122e+00
6.269272858656732e-08	1.185642e+00
6.618345643938608e-08	1.187096e+00
6.967418429220485e-08	1.188484e+00
7.316491214502360e-08	1.189806e+00
7.665563999784237e-08	1.191063e+00
8.014636785066112e-08	1.192254e+00
8.363709570347988e-08	1.193378e+00
8.869482259886754e-08	1.194919e+00
9.375254949425521e-08	1.196392e+00
9.881027638964288e-08	1.197798e+00
1.038680032850306e-07	1.199136e+00
1.089257301804182e-07	1.200406e+00
1.139834570758059e-07	1.201609e+00
1.190411839711935e-07	1.202745e+00
1.221592903005051e-07	1.203426e+00
1.252773966298166e-07	1.204093e+00
1.283955029591281e-07	1.204743e+00
1.315136092884396e-07	1.205379e+00
1.346317156177511e-07	1.205998e+00
