time	V(vout)
0.000000000000000e+00	0.000000e+00
1.000000011686097e-07	1.056215e+00
1.125000013146860e-07	1.133039e+00
1.320186335362220e-07	1.167349e+00
1.446457212826031e-07	1.179310e+00
1.566699703952270e-07	1.185341e+00
1.689809584337870e-07	1.190256e+00
1.829409416706823e-07	1.194788e+00
2.062828430575219e-07	1.200884e+00
2.399812831471579e-07	1.207689e+00
3.021388839245372e-07	1.216860e+00
3.992967383736783e-07	1.227158e+00
5.031945577530787e-07	1.235086e+00
6.272462130166871e-07	1.242122e+00
7.579111680088006e-07	1.247934e+00
8.997196588442422e-07	1.253057e+00
1.031988429175180e-06	1.257034e+00
1.217613687475149e-06	1.261746e+00
1.406210731425297e-06	1.265806e+00
1.676342286307249e-06	1.270693e+00
1.994352604702369e-06	1.275442e+00
2.582711512894050e-06	1.282379e+00
3.576117663766226e-06	1.291438e+00
4.648241512220848e-06	1.298880e+00
6.048995656407048e-06	1.306323e+00
7.667629277089079e-06	1.313070e+00
1.004010884453107e-05	1.320839e+00
1.324085553692582e-05	1.329004e+00
1.887373146567327e-05	1.339831e+00
2.972032846465893e-05	1.355165e+00
4.950478668427600e-05	1.376046e+00
7.319736231936835e-05	1.395878e+00
1.033315097735309e-04	1.417458e+00
1.364205940201503e-04	1.439181e+00
1.845329925300556e-04	1.469148e+00
2.599702765485507e-04	1.514525e+00
3.898309260342512e-04	1.590764e+00
4.469319568056357e-04	1.623185e+00
4.888088094208993e-04	1.644410e+00
5.255324164796186e-04	1.657724e+00
5.614187676196359e-04	1.663030e+00
5.997587791238240e-04	1.660619e+00
6.536648872778328e-04	1.650002e+00
7.409678284499290e-04	1.630609e+00
8.795414819485911e-04	1.605847e+00
9.778500408619772e-04	1.593920e+00
1.082959155450434e-03	1.585838e+00
1.187633190223465e-03	1.580855e+00
1.296180672565223e-03	1.578272e+00
1.403667592159192e-03	1.577196e+00
1.525635911522252e-03	1.576599e+00
1.590017608677287e-03	1.576426e+00
1.630185704254467e-03	1.576391e+00
1.668031551037308e-03	1.576417e+00
1.708680165181414e-03	1.576518e+00
1.745368933008836e-03	1.576708e+00
1.805055571535711e-03	1.577343e+00
1.901489294855351e-03	1.579640e+00
2.053299718431973e-03	1.588522e+00
2.194817289340176e-03	1.649982e+00
2.320285231961842e-03	1.822254e+00
2.387751542561285e-03	1.967678e+00
2.444974488444318e-03	2.084347e+00
2.501049063855944e-03	2.170140e+00
2.604127598397311e-03	2.288780e+00
2.707712852002035e-03	2.372004e+00
2.752665902369613e-03	2.392995e+00
2.787224416805839e-03	2.399210e+00
2.830118135207830e-03	2.397323e+00
2.870988196063203e-03	2.384882e+00
2.923956590306573e-03	2.346850e+00
2.998875589472624e-03	2.239850e+00
3.044189708762749e-03	2.039167e+00
3.086835541111346e-03	1.703300e+00
3.104385681728517e-03	1.609659e+00
3.112680080171081e-03	1.600356e+00
3.117841168500524e-03	1.597774e+00
3.120851593610222e-03	1.595928e+00
3.123204144218787e-03	1.594769e+00
3.125062312642200e-03	1.593910e+00
3.127021143064164e-03	1.592986e+00
3.128869770867133e-03	1.592174e+00
3.131214714677102e-03	1.591164e+00
3.134313484073230e-03	1.589899e+00
3.138752333382228e-03	1.588187e+00
3.144350602941844e-03	1.586189e+00
3.166205077419401e-03	1.579735e+00
3.189704615135887e-03	1.574446e+00
3.236703690568859e-03	1.566836e+00
3.330701841434803e-03	1.557567e+00
3.518698143166692e-03	1.547534e+00
3.676165809590629e-03	1.543128e+00
3.771644500244089e-03	1.541792e+00
3.836543879449671e-03	1.541283e+00
3.883464062926929e-03	1.541070e+00
3.918456319252743e-03	1.540994e+00
3.959563240599567e-03	1.540989e+00
4.004776903461491e-03	1.541081e+00
4.056132548046737e-03	1.541338e+00
4.139380956300892e-03	1.542183e+00
4.271951905123165e-03	1.545292e+00
4.471383625710648e-03	1.559210e+00
4.624487923236272e-03	1.581924e+00
4.626683831113347e-03	1.582689e+00
4.631075646867497e-03	1.585088e+00
4.639859278375798e-03	1.591192e+00
4.653577560781115e-03	1.605304e+00
4.664158674855486e-03	1.626882e+00
4.672911520345264e-03	1.665337e+00
4.676664392261243e-03	1.702284e+00
4.680311798123558e-03	1.765936e+00
4.683783762004726e-03	1.850440e+00
4.686522576879442e-03	1.932101e+00
4.689149152461120e-03	2.018266e+00
4.691547597315081e-03	2.094613e+00
4.694257686073077e-03	2.166460e+00
4.696721198885050e-03	2.211943e+00
4.699046766343761e-03	2.236800e+00
4.703697901261183e-03	2.265085e+00
4.709038706123454e-03	2.288613e+00
4.714209742497685e-03	2.307645e+00
4.724551815246146e-03	2.340267e+00
4.743272270035640e-03	2.388978e+00
4.775508743272048e-03	2.454678e+00
4.839981689744862e-03	2.554941e+00
4.907407019423264e-03	2.631462e+00
4.986055973841427e-03	2.691395e+00
5.029556470364880e-03	2.710684e+00
5.065133665069796e-03	2.716687e+00
5.101976213319334e-03	2.714514e+00
5.143392142153376e-03	2.700778e+00
5.196158078762755e-03	2.655892e+00
5.281650301456651e-03	2.489405e+00
5.319845907382483e-03	2.246080e+00
5.345670177333102e-03	1.881006e+00
5.358873378123031e-03	1.653512e+00
5.362984498241134e-03	1.613684e+00
5.365698650192177e-03	1.607758e+00
5.367463108716041e-03	1.605963e+00
5.369371195583423e-03	1.604407e+00
5.371094982467435e-03	1.603067e+00
5.373412741563141e-03	1.601438e+00
5.377545511885157e-03	1.598743e+00
5.383729523433301e-03	1.595137e+00
5.393173722666099e-03	1.590389e+00
5.409916296860863e-03	1.583520e+00
5.441949843230058e-03	1.573469e+00
5.492463144657326e-03	1.562254e+00
5.582242034500638e-03	1.549019e+00
5.672647985178173e-03	1.540927e+00
5.770998904592019e-03	1.536419e+00
5.967700743419711e-03	1.531859e+00
6.060188826370812e-03	1.530718e+00
6.120520573203415e-03	1.530370e+00
6.164510952320600e-03	1.530238e+00
6.199743854141532e-03	1.530200e+00
6.237949061208207e-03	1.530223e+00
6.279610397796094e-03	1.530325e+00
6.332285296399709e-03	1.530591e+00
6.417632810865904e-03	1.531443e+00
6.553320547167672e-03	1.534857e+00
6.756429979635635e-03	1.548321e+00
6.863294077796363e-03	1.564134e+00
6.878251106717913e-03	1.568813e+00
6.908165164561015e-03	1.584491e+00
6.929784544608780e-03	1.606284e+00
6.946550078177240e-03	1.655457e+00
6.955370826466529e-03	1.727717e+00
6.958816466676051e-03	1.785152e+00
6.960735851985038e-03	1.831035e+00
6.961847313773810e-03	1.861907e+00
