time	V(vout)
0.000000000000000e+00	0.000000e+00
1.000000011686097e-07	1.056215e+00
1.125000013146860e-07	1.134164e+00
1.257199549104256e-07	1.160417e+00
1.322155297638507e-07	1.168417e+00
1.379980666530208e-07	1.172931e+00
1.441579918881990e-07	1.176896e+00
1.541377444794105e-07	1.182252e+00
1.651824071943961e-07	1.187151e+00
1.807031242998721e-07	1.192751e+00
1.991135113743105e-07	1.198097e+00
2.287085383497976e-07	1.204817e+00
2.726107020831117e-07	1.212359e+00
3.470367561220878e-07	1.221805e+00
4.258750663395348e-07	1.229226e+00
5.243060750788772e-07	1.236204e+00
6.247369082646800e-07	1.241804e+00
7.471572751049195e-07	1.247317e+00
8.626987793622173e-07	1.251651e+00
9.875676498713542e-07	1.255589e+00
1.158086482889400e-06	1.260105e+00
1.417738345825984e-06	1.265855e+00
1.674747502465400e-06	1.270552e+00
2.054711691546303e-06	1.276201e+00
2.547188575664658e-06	1.282025e+00
3.532142343901370e-06	1.291039e+00
4.589516311462252e-06	1.298470e+00
6.029648779253304e-06	1.306197e+00
7.609043493679760e-06	1.312833e+00
9.993573033447298e-06	1.320690e+00
1.310444037517963e-05	1.328683e+00
1.874175185527204e-05	1.339609e+00
2.910563432477120e-05	1.354371e+00
4.982659660153243e-05	1.376236e+00
7.532207496162128e-05	1.397517e+00
1.050483614820093e-04	1.418689e+00
1.392424346703895e-04	1.441030e+00
1.872133538626827e-04	1.470804e+00
2.663788427980620e-04	1.517660e+00
3.882706755438394e-04	1.583936e+00
4.458077840482647e-04	1.607703e+00
4.879719234381728e-04	1.616488e+00
5.244920954848591e-04	1.617924e+00
5.595705139575347e-04	1.616087e+00
5.990715539870208e-04	1.612312e+00
6.525474746403621e-04	1.606102e+00
7.391675868349162e-04	1.595977e+00
8.767354414021798e-04	1.582115e+00
1.015569291354263e-03	1.571598e+00
1.165018162235275e-03	1.564094e+00
1.312901162018299e-03	1.559491e+00
1.461175822814650e-03	1.556346e+00
1.537521249348936e-03	1.555004e+00
1.591491022655071e-03	1.554157e+00
1.631286603874299e-03	1.553580e+00
1.669356018567389e-03	1.553070e+00
1.711031956982469e-03	1.552556e+00
1.749198237320986e-03	1.552139e+00
1.811274112624783e-03	1.551605e+00
1.911455788558568e-03	1.551242e+00
2.068577487888839e-03	1.552529e+00
2.267084094168606e-03	1.560479e+00
2.449111096052670e-03	1.600961e+00
2.566767577056889e-03	1.735936e+00
2.605521943947765e-03	1.869881e+00
2.634497994330329e-03	1.997109e+00
2.662725599589970e-03	2.086010e+00
2.688403906796425e-03	2.140566e+00
2.712196624079191e-03	2.173803e+00
2.734661769437569e-03	2.192398e+00
2.755728265952052e-03	2.200569e+00
2.775852123102254e-03	2.200499e+00
2.795250267937146e-03	2.193093e+00
2.814168541259104e-03	2.178561e+00
2.832907191749625e-03	2.156647e+00
2.851775229816632e-03	2.126591e+00
2.871121914125370e-03	2.087261e+00
2.891421180211499e-03	2.036901e+00
2.913234609208015e-03	1.973172e+00
2.937399687550606e-03	1.892380e+00
2.965075658407693e-03	1.792008e+00
2.998051891387476e-03	1.687118e+00
3.030916830490277e-03	1.625025e+00
3.062964690152435e-03	1.598827e+00
3.100957204096263e-03	1.583329e+00
3.165799197827844e-03	1.567173e+00
3.233301412587728e-03	1.556674e+00
3.308092677795036e-03	1.549873e+00
3.452819850540776e-03	1.542473e+00
3.638797402927686e-03	1.537206e+00
3.747754009822338e-03	1.535558e+00
3.819805815870360e-03	1.534962e+00
3.871179035085332e-03	1.534703e+00
3.909224279210346e-03	1.534591e+00
3.948367734899627e-03	1.534548e+00
4.000600863370388e-03	1.534584e+00
4.049339113832864e-03	1.534732e+00
4.128411697430112e-03	1.535277e+00
4.254726775548886e-03	1.537273e+00
4.446548206318908e-03	1.544451e+00
4.587328298084945e-03	1.616723e+00
4.768956843647307e-03	1.969250e+00
4.826166657635681e-03	2.206061e+00
4.880768512765941e-03	2.426061e+00
4.941361921943576e-03	2.538894e+00
5.022478033283427e-03	2.594072e+00
5.056817331695627e-03	2.589720e+00
5.098358490183440e-03	2.550178e+00
5.142045916342305e-03	2.468502e+00
5.193968727359684e-03	2.311982e+00
5.267211072856995e-03	2.028713e+00
5.364655387292912e-03	1.709141e+00
5.452903901877461e-03	1.584005e+00
5.536756045006343e-03	1.560165e+00
5.631220547661582e-03	1.547334e+00
5.739769469869033e-03	1.539110e+00
5.840855779341817e-03	1.535245e+00
5.998009844291347e-03	1.532447e+00
6.077083954960610e-03	1.531770e+00
6.132675041584580e-03	1.531580e+00
6.173552304732264e-03	1.531560e+00
6.210977474479698e-03	1.531623e+00
6.245269730163695e-03	1.531747e+00
6.282332670735504e-03	1.531965e+00
6.336711753615120e-03	1.532473e+00
6.424764933402793e-03	1.533938e+00
6.564441228545608e-03	1.539714e+00
6.745126099722901e-03	1.678130e+00
6.929916624191171e-03	2.169060e+00
6.974303106596324e-03	2.384497e+00
7.036205488718907e-03	2.663232e+00
7.096046462812845e-03	2.800302e+00
7.202686144696856e-03	2.918674e+00
7.286869126799150e-03	2.959506e+00
7.323268864962536e-03	2.954793e+00
7.363456688475284e-03	2.923489e+00
7.411930838885500e-03	2.843920e+00
7.462072721914509e-03	2.694271e+00
7.543386486073029e-03	2.341735e+00
7.673068108496404e-03	1.777550e+00
7.745769567521649e-03	1.608222e+00
7.814623418383414e-03	1.571739e+00
7.918512773613514e-03	1.553185e+00
8.033350278096521e-03	1.541754e+00
8.185727649843705e-03	1.534144e+00
8.325566792472351e-03	1.531091e+00
8.388004818500326e-03	1.530645e+00
8.433354671752043e-03	1.530617e+00
8.467636058593322e-03	1.530721e+00
8.510189441517973e-03	1.530991e+00
8.552156524917984e-03	1.531415e+00
8.604717985198995e-03	1.532264e+00
8.689885158788857e-03	1.534873e+00
8.825305878918107e-03	1.545808e+00
8.973574169733311e-03	1.579196e+00
9.030822416821413e-03	1.673096e+00
9.066808549391833e-03	1.880470e+00
9.102838505927011e-03	2.214548e+00
9.129757751621162e-03	2.451681e+00
9.163691002735787e-03	2.655451e+00
9.231557504965038e-03	2.888052e+00
9.311639905084783e-03	3.049688e+00
9.399657326563747e-03	3.161808e+00
9.487031048519470e-03	3.230822e+00
9.542385532623501e-03	3.250594e+00
9.583105482813008e-03	3.247947e+00
9.620623409175431e-03	3.229751e+00
9.655132349087027e-03	3.194706e+00
9.691710445135214e-03	3.124251e+00
9.746269044812097e-03	2.943158e+00
9.834606836418189e-03	2.532627e+00
